image_path,sample_id,panel_id,question_type,question,answer_type,answer
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_2_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_2,a,Comparative/Trend,"This process is run at 650 K. If the temperature were lowered to 300 K to reduce the thermal influence, how would the intensity of the 'Si-H Stretch' and 'SiO-H Stretch' peaks likely compare to this figure, and what is the performance trade-off?",Paragraph,"At 300 K, thermal energy would likely be insufficient to drive the reaction kinetics efficiently, resulting in significantly smaller peaks for both the Si-H stretch (deposition) and SiO-H stretch (consumption).
Trade-off: While a lower thermal influence protects sensitive sub-layers, the trade-off is incomplete surface passivation and lower coverage, leaving unreacted hydroxyl defects that could degrade subsequent layer quality."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_2_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_2,a,Application/Performance,"Given the 'Si-H Scissors' and 'Si-H Stretch' data, what does this surface termination imply for the nucleation of a subsequent Silicon Atomic Layer Deposition (ALD) process compared to an untreated surface?",Paragraph,"The strong positive absorbance for Si-H modes confirms a hydrogen-terminated surface, which is chemically distinct from the initial oxide. In Silicon ALD, this H-termination often facilitates cleaner nucleation by preventing immediate oxidation of the precursor, thereby promoting epitaxial alignment or higher quality poly-crystalline growth compared to an amorphous oxide surface."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_4_b.jpg,atomic-layer-deposition/experimental-usecase/12/fig_4,b,Comparative/Trend,"Compare the reaction extent at 10 mTorr versus 250 mTorr. If minimizing precursor waste is critical, is the 10 mTorr exposure sufficient for a high-quality monolayer ?",Yes/No,"No, 10 mTorr is not sufficient; the 250 mTorr route is preferable to ensure saturation despite higher waste."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_4_b.jpg,atomic-layer-deposition/experimental-usecase/12/fig_4,b,Application/Performance,"The spectra show a strong, broad W-F stretching peak remaining on the surface. What implication does this residual fluorine have for the electrical performance of the resulting Tungsten metal film?",Paragraph,"The prominent W-F peak indicates that the deposited tungsten layer is heavily fluorinated. If these fluorine atoms are not fully removed in the subsequent silane half-cycle, they will incorporate as impurities. High fluorine content in tungsten films typically leads to increased resistivity and can cause adhesion failure due to chemical attack on underlying layers (like SiO2)."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_4_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_4,a,Process-Oriented,"Based on the spectral changes in the left and right panels, list the chemical exchange occurring during this half-reaction step.",Paragraph,"Exposure of the Si2H6-terminated surface to WF₆ gas.

Consumption and removal of surface Si–H bonds, shown by negative peaks at about 2000–2500 cm⁻¹.

Formation and deposition of W–F species on the surface, shown by positive peaks at about 600–730 cm⁻¹."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_4_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_4,a,Comparative/Trend,How does increasing the WF₆ pressure from 10 mTorr to 250 mTorr affect the surface composition ratio of Si-H to W-F? Explain the trend shown in this figure.,Paragraph,"The 250 mTorr spectrum shows the deepest negative dip for Si-H and the highest positive peak for W-F, indicating a more complete reaction. This suggests that the reaction is transport-limited or kinetically limited at lower pressures (10 mTorr), requiring higher driving force (pressure) to maximize surface coverage and ligand exchange."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_5_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_5,a,Process-Oriented,"What does normalized integrated absorbance mean, and how is it determined in an FTIR experiment?",Paragraph,Normalized integrated absorbance is a measure of the total area under an FTIR absorption peak after scaling it relative to a reference value. It is obtained by integrating the absorbance intensity across the specific wavenumber range associated with a vibrational mode. The resulting value is then divided by a chosen baseline or maximum signal so that different spectra can be compared on the same scale.
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_5_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_5,a,Comparative/Trend,"How do the changes in the W–F and Si–H signals compare during the WF₆ half-reaction, and what does this reveal about the surface process?",Paragraph,"The W–F curve rises exactly as the Si–H curve falls, proving each new tungsten-fluoride bond directly replaces a silicon-hydride bond. Both curves saturate at the same exposure, confirming the reaction is self-limiting and consumes a fixed number of surface sites. This perfect mirroring shows the half-reaction is complete, reproducible, and ideal for controlled atomic-layer deposition."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_5_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_5,a,Structure-Property,"Based on the saturation curves, describe the relationship between WF₆ exposure and the final chemical structure of the surface layer. What does the concurrent change in Si–H and W–F signals indicate about the reaction stoichiometry?",Paragraph,"The surface structure transitions completely from Si–H termination to W–F termination as WF₆ exposure increases to the saturation point. The concurrent and complementary nature of the Si–H decay and W–F growth indicates a direct, one-to-one replacement reaction. The saturation of both signals at the same exposure value suggests the reaction consumes a fixed number of surface Si–H sites to produce a corresponding number of W–F sites, defining the stoichiometry of the surface-limited process."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_5_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_5,a,Application/Performance,"The sharp saturation behavior of both curves at an exposure of ~0.5 Torr-min indicates a self-limiting surface reaction. What key advantage for microelectronics manufacturing does this provide, and what specific film property can be controlled with exceptional precision because of it?",Paragraph,"This provides exceptional conformality on high-aspect-ratio 3D structures, a critical advantage. Because the reaction saturates once all surface sites are consumed, it proceeds equally on all exposed surfaces, regardless of geometry. The film property controlled with atomic-scale precision is thickness, as each ALD cycle adds a reproducible, sub-nanometer layer, enabling exact deposition in nanoscale device features."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_6_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_6,a,Process-Oriented,"To obtain the bottom spectrum (100 mTorr, 2 min), what must the two immediately preceding experimental steps have been? State the purpose of the 2-minute exposure time versus the 1-minute times used for other pressures.",Paragraph,"Create a W–F terminated surface via a saturation exposure to WF₆.

Obtain a reference FTIR spectrum of this initial W–F/Si–H–F surface.

The longer 2-minute exposure at 100 mTorr likely ensures the reaction reaches saturation or a specific extent for clearer spectroscopic analysis, differentiating kinetic from pressure-limited effects observed at shorter times."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_6_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_6,a,Comparative/Trend,"Contrast this Si₂H₆-based reduction half-cycle with an alternative half-cycle using atomic hydrogen (H*) from a plasma to reduce a W–F surface. Under a constraint of needing minimal surface damage and isotropic reactivity for deep trench coverage, which reducing agent is preferable?",Paragraph,"The thermal Si₂H₆ route is preferable. Plasma H*, while highly reactive, can cause surface damage via ion bombardment and may have poor conformality due to short radical lifetimes and recombination. The Si₂H₆ molecule provides a gentle, thermally activated source of hydrogen via its decomposition and ligand exchange, ensuring a self-limiting, isotropic surface reaction critical for uniform coverage in deep trenches without plasma-induced defect generation."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_6_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_6,a,Structure-Property,How does increasing the Si₂H₆ exposure (pressure/time) affect the chemical state of the tungsten at the surface? Link the observed spectral changes to the proposed ligand-exchange mechanism.,Paragraph,"Increasing Si₂H₆ exposure reduces the surface fluorine bound to tungsten, converting W–F* species into W–H* or W–FₓHᵧ species. This is evidenced by the decreasing positive W–F stretch peak and the evolving features in the Si–H region. The mechanism is direct exchange: Si₂H₆ reacts with surface F to form volatile SiH₃F and leaves behind Si–H and W–H species, progressively fluorinating the silane and reducing the tungsten's fluorine coordination."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_6_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_6,a,Application/Performance,"The caption states the preceding WF₆ half-reaction reached completion in ~1 min at 250 mTorr. Combined with this figure's data, what does this imply about the growth per cycle and film purity for a W - ALD process using WF₆ and Si₂H₆?",Paragraph,"This implies the process is a robust ALD cycle with a well-defined growth per cycle (GPC). The completion of both self-limiting half-reactions is confirmed. However, the ligand-exchange mechanism incorporating silicon from Si₂H₆ suggests the deposited film will not be pure tungsten but rather a tungsten silicide (WSiₓ) or a silicon-containing tungsten alloy, which may be desirable for specific electronic properties but not for pure metallic W contacts."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_7_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_7,a,Process-Oriented,What control mechanism does the plateau at exposures >0.3 Torr·min demonstrate?,Factoid,"The plateau indicates a self-limiting control mechanism, a hallmark of ALD. Once the reactive Si-H surface sites are fully consumed (absorbance ~ 0) and replaced by W-F species, the reaction stops automatically, meaning extending the exposure time further yields no additional material growth."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_7_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_7,a,Comparative/Trend,If I consider reducing the WF₆ exposure to 0.1 Torr·min to increase throughput. Compare the surface state at 0.1 Torr·min vs. 0.6 Torr·min and evaluate the trade-off between speed and film quality.,Paragraph,"0.1 Torr·min (Speed): High throughput, but the Si-H signal is still ~0.3 (30% unreacted), and W-F coverage is only ~80%.

0.6 Torr·min (Quality): Slower throughput, but Si-H is fully removed (~0.0) and W-F is saturated (1.0)."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_7_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_7,a,Structure-Property,Describe the surface composition at the 'crossover point' (~0.05 Torr·min) compared to the final state.,Paragraph,"At the crossover point, the surface is a heterogeneous mixture of approximately 50% unreacted Si-H bonds and 50% newly formed W-F species."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_7_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_7,a,Application/Performance,"The Si-H absorbance drops to near zero at saturation. If this value remained at 0.2 (20%) instead, what would this imply for the resistivity of the final Tungsten interconnect?",Paragraph,"The saturation value greater than 1.0 indicates a high density of reactive Si–H sites, possibly including higher-order silane species (SiHₓ). Such a hydrogen-rich surface is advantageous because Si–H bonds serve as the reducing agent for WF₆. A larger population of these active sites promotes fast and uniform nucleation of tungsten in the following deposition step."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_8_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_8,a,Process-Oriented,"Based on the plot, identify the saturation threshold. If you were programming the ALD sequencer, what is the minimum safe pulse count you would set?",Paragraph,"To account for minor process variations, a safe setpoint would be slightly above the threshold, such as 12–15 pulses. Programming anything less than 10 pulses risks incomplete surface coverage, while significantly more (e.g., >20) wastes precursor without adding thickness."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_8_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_8,a,Comparative/Trend,Can you compare operating at 5 pulses (slope region) versus 50 pulses (deep saturation). Evaluate the balance between precursor efficiency and film uniformity.,Paragraph,"5 Pulses (Slope Region): High precursor efficiency (low waste), but high risk of non-uniformity because growth is sensitive to local gas flux.

50 Pulses (Deep Saturation): Confirms maximum uniformity and full coverage, but suffers from very low efficiency due to high precursor usage/waste."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_8_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_8,a,Structure-Property,Explain the physical mechanism that prevents the film from growing thicker than ~7 Å after 20 pulses. What dictates this limit at the atomic level?,Yes/No,"The plateau signifies that all available reactive surface sites (specifically the Si-H bonds established in the previous step) have been consumed and replaced by W-F species. Since WF6 cannot react with itself or the fluorinated surface it creates, the reaction chemically terminates. This site-limitation factor ensures the film thickness is defined strictly by the number of cycles, not the total precursor gas exposure."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_8_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_8,a,Application/Performance,"Calculate the Growth Per Cycle (GPC) using the saturation plateau value (~7 Å over 3 cycles). If a minimum thickness of 20 Å is required to form a continuous nucleation liner for a memory contact, how many cycles are needed? What device failure is risked if the process is stopped after only 1 cycle (~2.5 Å)",Factoid,"The GPC is ~2.5 Å/cycle, so 8 cycles are required for a 20 Å liner."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_9_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_9,a,Process-Oriented,"For the data point at 30 Si₂H₆ pulses, describe the exact process sequence for one of the three AB cycles. What is the purpose of using 9 WF₆ pulses in the A-step?",Paragraph,"WF₆ Pulse

Purge

Repeat steps 1-2 until 9 total WF₆ pulses are delivered.

Si₂H₆ Pulse

Purge

Repeat steps 4-5 a total of 30 times.
The 9 WF₆ pulses ensure the surface is saturated, guaranteeing a complete and reproducible A-step half-reaction regardless of the subsequent B-step condition, isolating the effect of the Si₂H₆ dose."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_9_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_9,a,Comparative/Trend,"Compare using Si₂H₆ as the co-reducing agent versus using diborane (B₂H₆) for W ALD. For an application requiring the lowest possible oxygen contamination in the final tungsten film, which co-reactant is likely better and what is the trade-off?",Paragraph,"Diborane (B₂H₆) is likely better for minimizing oxygen. B₂H₆ is a stronger reducing agent that can getter trace oxygen and water more effectively than Si₂H₆. The trade-off is that boron itself can incorporate as an impurity in the W film, potentially altering its electrical resistivity and stability, whereas silicon incorporation from Si₂H₆ may form a more benign tungsten silicide."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_9_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_9,a,Structure-Property,How does the film thickness correlate with the number of Si₂H₆ pulses? Describe the chemical cause for the trend observed from 0 to ~10 pulses.,Paragraph,"Thickness increases with Si₂H₆ pulses, then saturates. From 0 to ~10 pulses, thickness rises sharply because each pulse provides more reductant to convert the W–F surface layer into a metallic W film and regenerate the Si–H sites needed for the next WF₆ pulse. Insufficient Si₂H₆ leaves the surface partially fluorinated, preventing full tungsten deposition in the next cycle."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_9_a.jpg,atomic-layer-deposition/experimental-usecase/12/fig_9,a,Application/Performance,"The thickness saturates after about 20 Si₂H₆ pulses per cycle. What does this imply for the required process recipe to achieve a 100 Å thick, consistent tungsten film on high-aspect-ratio structures at 425 K?",Paragraph,"This implies the process must use a saturating Si₂H₆ dose (>20 pulses/cycle) to ensure complete surface reaction. To grow 100 Å, you would run the calculated number of full ALD cycles based on the saturated growth per cycle (~20 Å/3 cycles = ~6.7 Å/cycle). Consistency and conformality are achieved only when both half-reactions (9 WF₆ pulses, >20 Si₂H₆ pulses) are operated in their saturated regimes."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_13_fig_1_a.jpg,atomic-layer-deposition/experimental-usecase/13/fig_1,a,Process-Oriented,Is there a relation between the Si content and the film thickness per cycle?,Yes/No,No
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_13_fig_1_a.jpg,atomic-layer-deposition/experimental-usecase/13/fig_1,a,Comparative/Trend,How does Si content vary with the partial pressure of SiH4?,Factoid,"As the partial pressure increases, so does the Si content, albeit slightly."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_13_fig_1_a.jpg,atomic-layer-deposition/experimental-usecase/13/fig_1,a,Structure-Property,What are the Si content and film thickness when the partial pressure of SiH4 is 1 Pa?,Factoid,"At that pressure, the Si content is closer to 15 at% and the film thickness is around 0.3 nm/cycle."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_13_fig_1_a.jpg,atomic-layer-deposition/experimental-usecase/13/fig_1,a,Application/Performance,Is the dependence of the Si content using MOALD comparable with the MOVCD?,Factoid,"In this case, the Si deposited through MOALD is not comparable with that deposited through MOCVD, because the latter increases logarithmically with the partial pressure of SiH4, which differs with the data shown in the figure."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_13_fig_2_a.jpg,atomic-layer-deposition/experimental-usecase/13/fig_2,a,Process-Oriented,Were SiH4 and NH3 supplied at the same time?,Yes/No,Yes.
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_13_fig_2_a.jpg,atomic-layer-deposition/experimental-usecase/13/fig_2,a,Comparative/Trend,How do the Si content and film thickness change with the SiH4/NH3 ratio?,Factoid,"There is an increase in the Si content until SiH4/NH3 ratio of 1 is reached, where a plateau of 23 at% is achieved. Conversely, the film thickness decreases with increasing Si content and SiH4/NH3 ratio."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_13_fig_2_a.jpg,atomic-layer-deposition/experimental-usecase/13/fig_2,a,Structure-Property,At what SiH4/NH3 ratio is saturation reached?,Factoid,Saturation is reached at a value of 23 at% when the SiH4/NH3 ratio is 1.
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_13_fig_2_a.jpg,atomic-layer-deposition/experimental-usecase/13/fig_2,a,Application/Performance,Why does the film thickness change when the Si content increases?,Factoid,"The film thickness decreases as the Si content increase, due to a reduction in the number of molecules caused by a SiH4 blocking effect, or NH3 deficiency."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_13_fig_3_a.jpg,atomic-layer-deposition/experimental-usecase/13/fig_3,a,Process-Oriented,What are the capacitor characteristics of curves (a) and (b)?,Factoid,"For both curves, the MOS capacitor does not have the barrier layer."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_13_fig_3_a.jpg,atomic-layer-deposition/experimental-usecase/13/fig_3,a,Comparative/Trend,How does the normalized capacitance change at voltages above 1 V?,Factoid,"For all the curves, the normalized capacitance exhibits the same behavior at voltage values above 1V: it remains constant as the voltage increases."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_13_fig_3_a.jpg,atomic-layer-deposition/experimental-usecase/13/fig_3,a,Structure-Property,At what voltage value do the curves have the same normalized capacitance value?,Factoid,Approximately at -3V.
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_13_fig_3_a.jpg,atomic-layer-deposition/experimental-usecase/13/fig_3,a,Application/Performance,How do the Cu atoms diffused onto Si can modify the C-V characteristics of the curve?,Factoid,The Cu atoms can enter the Si and form deep donor levels. These levels can act as the generation and recombination centers of electron-hole pairs.
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_16_fig_2_a.jpg,atomic-layer-deposition/experimental-usecase/16/fig_2,a,Comparative/Trend,Which precursor shows evaporation with least decomposition?,Factoid,Zr(Cp)(ᵗBuDAD)(OⁱPr)
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_16_fig_2_a.jpg,atomic-layer-deposition/experimental-usecase/16/fig_2,a,Comparative/Trend,How does the vacuum affect the evaporation behaviour of Zr(Me₅Cp)(TEA)? What supports this conclusion?,Paragraph,"Applying vacuum conditions significantly reduces decomposition compared to atmospheric pressure. The thermogravimetric analysis shows a residue of ~30% at the highest temperature studied. Under vacuum, the residue is ~ 6%. The reduction in residue is a sign of reduced thermal decomposition."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_16_fig_2_a.jpg,atomic-layer-deposition/experimental-usecase/16/fig_2,a,Comparative/Trend,Which precursor shows a two-step weight loss?,Factoid,Zr(Me₅Cp)(TEA) under vacuum.
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_16_fig_2_b.jpg,atomic-layer-deposition/experimental-usecase/16/fig_2,b,Structure-Property,Which complex is the most volatile?,Factoid,Zr(Cp)(ᵗBuDAD)(OⁱPr) achieves highest vapor pressures at lower temperatures.
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_16_fig_3_a.jpg,atomic-layer-deposition/experimental-usecase/16/fig_3,a,Structure-Property,"How does the structure of Zr(Me₅Cp)(TEA) explains the observed trend of growth rates, compared to other precursors?",Paragraph,"Zr(Me₅Cp)(TEA) displays the lowest growth rates among 3 precursors. It features bulky ligands that sterically shield the central zirconium atom, preventing efficient access for reactants and resulting in significantly slower growth rates. Additionally, the TEA ligand coordinates through three oxygen atoms to form chelating bonds that are  stronger than the nitrogen-based bonds in the other complexes, which reduces reactivity toward weak oxidants like water."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_16_fig_3_a.jpg,atomic-layer-deposition/experimental-usecase/16/fig_3,a,Comparative/Trend,Which precursor is the least reactive to water?,Factoid,Zr(Me₅Cp)(TEA) (did not react to water below 400 °C).
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_16_fig_3_a.jpg,atomic-layer-deposition/experimental-usecase/16/fig_3,a,Comparative/Trend,Which precursor demonstrates the ALD window? At which temperatures?,Factoid,Zr(MeCp)(TMEA) at approx. 250-350 °C.
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_16_fig_3_b.jpg,atomic-layer-deposition/experimental-usecase/16/fig_3,b,Comparative/Trend,Which precursors demonstrate the ALD window?,Factoid,"Zr(MeCp)(TMEA), Zr(Me₅Cp)(TEA)."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_16_fig_4_a.jpg,atomic-layer-deposition/experimental-usecase/16/fig_4,a,Comparative/Trend,"Which precursor produces a film with higher quality at 325 °C, based solely on this plot?",Factoid,Zr(MeCp)(TMEA) (due to higher density).
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_16_fig_4_b.jpg,atomic-layer-deposition/experimental-usecase/16/fig_4,b,Comparative/Trend,Would the temperature of 250°C or 300°C lead to higher amount of deposited material for Zr(MeCp)(TMEA)? The growth rates at these temperatures are equal.,Paragraph,"300°C would lead to the higher amount of deposited material. Although the growth rates are equal, the film density increased from ~4.5 g/cm3 to ~5.5 g/cm3, as the temperature rises from 250°C to 300°C. The increase in density means that more atoms are packed into the film at the higher temperature."
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_16_fig_4_b.jpg,atomic-layer-deposition/experimental-usecase/16/fig_4,b,Comparative/Trend,When does the density stabilizes for Zr(Me₅Cp)(TEA)?,Factoid,After ~350 °C at ~ 5.8 g/cm3.
